pitch_index,clip_id,video_path,stance,confidence,status,error,impact_frame,window_start_frame,window_end_frame,valid_frame_count,vote_distribution,detector_provenance,quality_flags
1,pitch-pix-69e939e0ee33ff11241e0939-356-369,data/examples/duke-2026-04-21-liberty-sample/downloads/pitch-pix-69e939e0ee33ff11241e0939-356-369.mp4,LKD,0.975383933856052,ok,,649,586,622,19,"{""LKD"": 1.0}","histogram_scene_cuts,baseballcv_phc,baseballcv_ball_trajectory,yolo26_pose",
2,pitch-pix-69e939e0ee33ff11241e0939-378-388,data/examples/duke-2026-04-21-liberty-sample/downloads/pitch-pix-69e939e0ee33ff11241e0939-378-388.mp4,LKD,0.9030586924130045,ok,,464,409,437,15,"{""LKD"": 1.0}","histogram_scene_cuts,baseballcv_phc,baseballcv_ball_trajectory,yolo26_pose","reduced_batch_pose_retry,short_set_window"
3,pitch-pix-69e939e0ee33ff11241e0939-395-409,data/examples/duke-2026-04-21-liberty-sample/downloads/pitch-pix-69e939e0ee33ff11241e0939-395-409.mp4,RKD,0.9572070860447658,ok,,649,586,622,19,"{""RKD"": 1.0}","histogram_scene_cuts,baseballcv_phc,baseballcv_ball_trajectory,yolo26_pose",
4,pitch-pix-69e939e0ee33ff11241e0939-428-444,data/examples/duke-2026-04-21-liberty-sample/downloads/pitch-pix-69e939e0ee33ff11241e0939-428-444.mp4,LKD,0.996538125589286,ok,,724,623,659,18,"{""LKD"": 1.0}","histogram_scene_cuts,baseballcv_phc,baseballcv_ball_trajectory,yolo26_pose",
5,pitch-pix-69e939e0ee33ff11241e0939-449-462,data/examples/duke-2026-04-21-liberty-sample/downloads/pitch-pix-69e939e0ee33ff11241e0939-449-462.mp4,LKD,0.9889645457852054,ok,,605,528,576,21,"{""LKD"": 1.0}","histogram_scene_cuts,baseballcv_phc,baseballcv_ball_trajectory,yolo26_pose",
