card_dom_index,clip_id,pitch_id,trumedia_game_id,pitch_number,inning,count,pitcher,batter,catcher_id,catcher,catching_team,catching_team_id,pitching_team,video_angle,media_ref,s3_url,saved_path,status,attempts,error,skip_reason
1,pitch-pix-69e939e0ee33ff11241e0939-356-369,,,,,,,,,,,,,Broadcast,,,data/examples/duke-2026-04-21-liberty-sample/downloads/pitch-pix-69e939e0ee33ff11241e0939-356-369.mp4,downloaded,1,,
2,pitch-pix-69e939e0ee33ff11241e0939-378-388,,,,,,,,,,,,,Broadcast,,,data/examples/duke-2026-04-21-liberty-sample/downloads/pitch-pix-69e939e0ee33ff11241e0939-378-388.mp4,downloaded,1,,
3,pitch-pix-69e939e0ee33ff11241e0939-395-409,,,,,,,,,,,,,Broadcast,,,data/examples/duke-2026-04-21-liberty-sample/downloads/pitch-pix-69e939e0ee33ff11241e0939-395-409.mp4,downloaded,1,,
4,pitch-pix-69e939e0ee33ff11241e0939-428-444,,,,,,,,,,,,,Broadcast,,,data/examples/duke-2026-04-21-liberty-sample/downloads/pitch-pix-69e939e0ee33ff11241e0939-428-444.mp4,downloaded,1,,
5,pitch-pix-69e939e0ee33ff11241e0939-449-462,,,,,,,,,,,,,Broadcast,,,data/examples/duke-2026-04-21-liberty-sample/downloads/pitch-pix-69e939e0ee33ff11241e0939-449-462.mp4,downloaded,1,,
